|SnowWarsClient.java             |INFO  | Starting SnowWars-Client
|SnowWarsClient.java             |INFO  | Reading configfile...
|ConfigLoader.java               |INFO  | Load XML config...
|ConfigurationUtils.java         |DEBUG | ConfigurationUtils.locate(): base is null, name is config/config.xml
|DefaultFileSystem.java          |DEBUG | Could not locate file config/config.xml at null: no protocol: config/config.xml
|ConfigurationUtils.java         |DEBUG | Loading configuration from the path config/config.xml
|ConfigLoader.java               |INFO  | XML config: OK
|RunRMIClient.java               |INFO  | Successfully Connected to SnowWars-Server
|RunRMIClient.java               |INFO  | Joining SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | New Client registered! Active Client-count: 1
|RunRMIClient.java               |INFO  | Successfully registered Client on Server
|SnowWarsClient.java             |INFO  | Closing SnowWars-Client
|RunRMIClient.java               |INFO  | Leaving SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | Client deregistered.
|RunRMIClient.java               |INFO  | Successfully deregistered Client on Server
|SnowWarsClient.java             |INFO  | Starting SnowWars-Client
|SnowWarsClient.java             |INFO  | Reading configfile...
|ConfigLoader.java               |INFO  | Load XML config...
|ConfigurationUtils.java         |DEBUG | ConfigurationUtils.locate(): base is null, name is config/config.xml
|DefaultFileSystem.java          |DEBUG | Could not locate file config/config.xml at null: no protocol: config/config.xml
|ConfigurationUtils.java         |DEBUG | Loading configuration from the path config/config.xml
|ConfigLoader.java               |INFO  | XML config: OK
|RunRMIClient.java               |INFO  | Successfully Connected to SnowWars-Server
|RunRMIClient.java               |INFO  | Joining SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | New Client registered! Active Client-count: 1
|RunRMIClient.java               |INFO  | Successfully registered Client on Server
|SnowWarsClient.java             |INFO  | Closing SnowWars-Client
|RunRMIClient.java               |INFO  | Leaving SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | Client deregistered.
|RunRMIClient.java               |INFO  | Successfully deregistered Client on Server
|SnowWarsClient.java             |INFO  | Starting SnowWars-Client
|SnowWarsClient.java             |INFO  | Reading configfile...
|ConfigLoader.java               |INFO  | Load XML config...
|ConfigurationUtils.java         |DEBUG | ConfigurationUtils.locate(): base is null, name is config/config.xml
|DefaultFileSystem.java          |DEBUG | Could not locate file config/config.xml at null: no protocol: config/config.xml
|ConfigurationUtils.java         |DEBUG | Loading configuration from the path config/config.xml
|ConfigLoader.java               |INFO  | XML config: OK
|RunRMIClient.java               |INFO  | Successfully Connected to SnowWars-Server
|RunRMIClient.java               |INFO  | Joining SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | New Client registered! Active Client-count: 1
|RunRMIClient.java               |INFO  | Successfully registered Client on Server
|SnowWarsClient.java             |INFO  | Closing SnowWars-Client
|RunRMIClient.java               |INFO  | Leaving SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | Client deregistered.
|RunRMIClient.java               |INFO  | Successfully deregistered Client on Server
|SnowWarsClient.java             |INFO  | Starting SnowWars-Client
|SnowWarsClient.java             |INFO  | Reading configfile...
|ConfigLoader.java               |INFO  | Load XML config...
|ConfigurationUtils.java         |DEBUG | ConfigurationUtils.locate(): base is null, name is config/config.xml
|DefaultFileSystem.java          |DEBUG | Could not locate file config/config.xml at null: no protocol: config/config.xml
|ConfigurationUtils.java         |DEBUG | Loading configuration from the path config/config.xml
|ConfigLoader.java               |INFO  | XML config: OK
|RunRMIClient.java               |INFO  | Successfully Connected to SnowWars-Server
|RunRMIClient.java               |INFO  | Joining SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | New Client registered! Active Client-count: 1
|RunRMIClient.java               |INFO  | Successfully registered Client on Server
|SnowWarsClient.java             |INFO  | Closing SnowWars-Client
|RunRMIClient.java               |INFO  | Leaving SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | Client deregistered.
|RunRMIClient.java               |INFO  | Successfully deregistered Client on Server
|SnowWarsClient.java             |INFO  | Starting SnowWars-Client
|SnowWarsClient.java             |INFO  | Reading configfile...
|ConfigLoader.java               |INFO  | Load XML config...
|ConfigurationUtils.java         |DEBUG | ConfigurationUtils.locate(): base is null, name is config/config.xml
|DefaultFileSystem.java          |DEBUG | Could not locate file config/config.xml at null: no protocol: config/config.xml
|ConfigurationUtils.java         |DEBUG | Loading configuration from the path config/config.xml
|ConfigLoader.java               |INFO  | XML config: OK
|RunRMIClient.java               |INFO  | Successfully Connected to SnowWars-Server
|RunRMIClient.java               |INFO  | Joining SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | New Client registered! Active Client-count: 1
|RunRMIClient.java               |INFO  | Successfully registered Client on Server
|SnowWarsClient.java             |INFO  | Closing SnowWars-Client
|RunRMIClient.java               |INFO  | Leaving SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | Client deregistered.
|RunRMIClient.java               |INFO  | Successfully deregistered Client on Server
|SnowWarsClient.java             |INFO  | Starting SnowWars-Client
|SnowWarsClient.java             |INFO  | Reading configfile...
|ConfigLoader.java               |INFO  | Load XML config...
|ConfigurationUtils.java         |DEBUG | ConfigurationUtils.locate(): base is null, name is config/config.xml
|DefaultFileSystem.java          |DEBUG | Could not locate file config/config.xml at null: no protocol: config/config.xml
|ConfigurationUtils.java         |DEBUG | Loading configuration from the path config/config.xml
|ConfigLoader.java               |INFO  | XML config: OK
|RunRMIClient.java               |INFO  | Successfully Connected to SnowWars-Server
|RunRMIClient.java               |INFO  | Joining SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | New Client registered! Active Client-count: 1
|RunRMIClient.java               |INFO  | Successfully registered Client on Server
|SnowWarsClient.java             |INFO  | Closing SnowWars-Client
|RunRMIClient.java               |INFO  | Leaving SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | Client deregistered.
|RunRMIClient.java               |INFO  | Successfully deregistered Client on Server
|SnowWarsClient.java             |INFO  | Starting SnowWars-Client
|SnowWarsClient.java             |INFO  | Reading configfile...
|ConfigLoader.java               |INFO  | Load XML config...
|ConfigurationUtils.java         |DEBUG | ConfigurationUtils.locate(): base is null, name is config/config.xml
|DefaultFileSystem.java          |DEBUG | Could not locate file config/config.xml at null: no protocol: config/config.xml
|ConfigurationUtils.java         |DEBUG | Loading configuration from the path config/config.xml
|ConfigLoader.java               |INFO  | XML config: OK
|RunRMIClient.java               |INFO  | Successfully Connected to SnowWars-Server
|RunRMIClient.java               |INFO  | Joining SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | New Client registered! Active Client-count: 1
|RunRMIClient.java               |INFO  | Successfully registered Client on Server
|SnowWarsClient.java             |INFO  | Closing SnowWars-Client
|RunRMIClient.java               |INFO  | Leaving SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | Client deregistered.
|RunRMIClient.java               |INFO  | Successfully deregistered Client on Server
|SnowWarsClient.java             |INFO  | Starting SnowWars-Client
|SnowWarsClient.java             |INFO  | Reading configfile...
|ConfigLoader.java               |INFO  | Load XML config...
|ConfigurationUtils.java         |DEBUG | ConfigurationUtils.locate(): base is null, name is config/config.xml
|DefaultFileSystem.java          |DEBUG | Could not locate file config/config.xml at null: no protocol: config/config.xml
|ConfigurationUtils.java         |DEBUG | Loading configuration from the path config/config.xml
|ConfigLoader.java               |INFO  | XML config: OK
|RunRMIClient.java               |INFO  | Successfully Connected to SnowWars-Server
|RunRMIClient.java               |INFO  | Joining SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | New Client registered! Active Client-count: 1
|RunRMIClient.java               |INFO  | Successfully registered Client on Server
|SnowWarsClient.java             |INFO  | Closing SnowWars-Client
|RunRMIClient.java               |INFO  | Leaving SnowWar Distributor-Channel...
|RMIServer.java                  |INFO  | Client deregistered.
|RunRMIClient.java               |INFO  | Successfully deregistered Client on Server
